Pair,Days,London Break (overall),London Break (small Asia),London Break (large Asia),T1 p-value,T1 test,T1 significant,NY Break (overall),NY Break (small London),NY Break (large London),T2 p-value,T2 test,T2 significant,NY Reversal Rate,T3 p-value,T3 test,T3 significant,T1 Cramers V,T1 Effect,T2 Cramers V,T2 Effect,T3 Cramers V,T3 Effect,OOS Train n,OOS Train T1 break (small),OOS Train T1 break (large),OOS Train T1 p,OOS Train T1 V,OOS Train T2 break (small),OOS Train T2 break (large),OOS Train T2 p,OOS Train T2 V,OOS Train T3 reversal rate,OOS Train T3 p,OOS Train T3 V,OOS Test n,OOS Test T1 break (small),OOS Test T1 break (large),OOS Test T1 p,OOS Test T1 V,OOS Test T2 break (small),OOS Test T2 break (large),OOS Test T2 p,OOS Test T2 V,OOS Test T3 reversal rate,OOS Test T3 p,OOS Test T3 V
EUR/USD,259,93.8%,98.4%,89.2%,0.004755157108628492,Chi-sq,✓,47.1%,54.3%,40.0%,0.02964044632339646,Chi-sq,✓,29.0%,1.8784967020783575e-06,Chi-sq,✓,0.175,Weak,0.135,Weak,0.296,Weak,181,97.8%,89.0%,3.83e-02,0.154,46.7%,42.9%,7.14e-01,0.027,29.3%,1.09e-04,0.288,78,95.3%,92.9%,5.55e-01,N/A,53.7%,50.0%,9.55e-01,0.006,28.2%,8.66e-03,0.297
GBP/USD,260,96.2%,99.2%,93.1%,0.023981083473813884,Chi-sq,✓,49.6%,54.6%,44.6%,0.13662939865391585,Chi-sq,✗,27.7%,2.921162652281907e-07,Chi-sq,✓,0.140,Weak,0.092,negligible,0.318,moderate,182,100.0%,94.5%,5.91e-02,N/A,53.8%,45.1%,2.99e-01,0.077,28.6%,4.54e-05,0.302,78,98.3%,77.8%,9.10e-03,N/A,56.4%,43.6%,3.65e-01,0.103,25.6%,2.96e-03,0.336
USD/JPY,259,88.0%,91.5%,84.6%,0.1314241417363725,Chi-sq,✗,42.9%,42.6%,43.1%,1.0,Chi-sq,✗,29.3%,2.980265035327764e-06,Chi-sq,✓,0.094,negligible,0.000,negligible,0.290,Weak,181,92.2%,82.4%,7.89e-02,0.131,44.4%,46.2%,9.35e-01,0.006,31.5%,6.15e-04,0.255,78,88.2%,92.6%,7.07e-01,N/A,36.7%,37.9%,1.00e+00,N/A,24.4%,1.65e-03,0.356
AUD/USD,261,88.5%,93.1%,84.0%,0.03464740673133774,Chi-sq,✓,54.0%,55.4%,52.7%,0.7523837499317305,Chi-sq,✗,28.0%,4.960813084739152e-07,Chi-sq,✓,0.131,Weak,0.020,negligible,0.311,moderate,182,92.3%,87.9%,4.56e-01,0.055,58.2%,50.5%,3.72e-01,0.066,26.4%,5.87e-06,0.336,79,91.8%,73.3%,4.90e-02,N/A,50.0%,56.4%,7.30e-01,0.039,31.6%,3.51e-02,0.237
USD/CAD,261,97.3%,99.2%,95.4%,0.11997164211037818,Fisher,✗,58.2%,61.5%,55.0%,0.34125624634868873,Chi-sq,✗,24.9%,7.013276716515124e-09,Chi-sq,✓,N/A,N/A (Fisher),0.059,negligible,0.358,moderate,182,100.0%,94.5%,5.91e-02,N/A,61.1%,52.2%,2.86e-01,0.079,26.9%,1.00e-05,0.327,79,97.8%,97.0%,1.00e+00,N/A,66.0%,56.2%,5.24e-01,0.072,20.3%,2.39e-04,0.413
NZD/USD,261,87.7%,93.8%,81.7%,0.004988978266775857,Chi-sq,✓,53.6%,58.5%,48.9%,0.1521495129263727,Chi-sq,✗,28.4%,8.070249700555847e-07,Chi-sq,✓,0.174,Weak,0.089,negligible,0.305,moderate,182,91.2%,81.3%,8.49e-02,0.128,58.2%,46.2%,1.38e-01,0.110,28.0%,2.78e-05,0.311,79,96.4%,79.2%,2.44e-02,N/A,59.0%,55.0%,8.97e-01,0.015,29.1%,1.45e-02,0.275
USD/CHF,261,95.4%,95.3%,95.5%,1.0,Chi-sq,✗,56.7%,60.0%,53.4%,0.34449429961228584,Chi-sq,✗,27.6%,3.0193650952880596e-07,Chi-sq,✓,0.000,negligible,0.059,negligible,0.317,moderate,182,95.6%,95.6%,1.00e+00,N/A,62.6%,58.2%,6.49e-01,0.034,29.7%,1.16e-04,0.286,79,95.0%,94.7%,1.00e+00,N/A,48.9%,47.1%,1.00e+00,N/A,22.8%,9.22e-04,0.373
EUR/GBP,261,94.6%,99.2%,90.1%,0.002635559306045853,Chi-sq,✓,55.6%,58.5%,52.7%,0.41414569105830534,Chi-sq,✗,33.3%,0.0001915063797048212,Chi-sq,✓,0.186,Weak,0.051,negligible,0.231,Weak,182,100.0%,90.1%,3.17e-03,N/A,56.7%,52.2%,6.46e-01,0.034,34.6%,4.18e-03,0.212,79,98.2%,81.8%,1.97e-02,N/A,59.2%,56.7%,1.00e+00,N/A,30.4%,2.29e-02,0.256
EUR/JPY,261,83.5%,92.3%,74.8%,0.00026895264799602027,Chi-sq,✓,46.4%,46.9%,45.8%,0.9541106377362326,Chi-sq,✗,29.5%,3.2773431500959764e-06,Chi-sq,✓,0.226,Weak,0.004,negligible,0.288,Weak,182,94.5%,73.6%,2.67e-04,0.270,52.7%,45.1%,3.74e-01,0.066,27.5%,1.68e-05,0.319,79,86.8%,78.0%,4.67e-01,0.082,38.8%,43.3%,8.69e-01,0.018,34.2%,7.60e-02,0.200
GBP/JPY,260,85.0%,92.3%,77.7%,0.0017702048506735943,Chi-sq,✓,46.5%,47.7%,45.4%,0.8036190729759081,Chi-sq,✗,26.9%,1.0480567256666277e-07,Chi-sq,✓,0.194,Weak,0.015,negligible,0.330,moderate,182,90.1%,78.0%,4.28e-02,0.150,57.1%,42.9%,7.52e-02,0.132,25.8%,3.39e-06,0.344,78,97.5%,76.3%,6.23e-03,N/A,28.6%,50.0%,8.80e-02,0.193,29.5%,1.41e-02,0.278
